# EUC,SJIS
0xabe5,0x8685
0xabe6,0x8686
0xabe7,0x8687
0xabe8,0x8688
0xabe9,0x8689
0xabea,0x868a
0xabeb,0x868b
0xabec,0x868c
0xabed,0x868d
0xabee,0x868e
0xabef,0x868f
0xabf0,0x8690
0xabf1,0x8691
0xabf2,0x8692
0xabf3,0x8693
0xabf4,0x8694
0xabf5,0x8695
0xabf6,0x8696
0xabf7,0x8697
0xabf8,0x8698
0xabf9,0x8699
0xabfa,0x869a
0xabfb,0x869b
0xabfc,0x869c
0xabfd,0x869d
0xabfe,0x869e
0xaca1,0x869f
0xaca2,0x86a0
0xaca3,0x86a1
0xaca4,0x86a2
0xaca5,0x86a3
0xaca6,0x86a4
0xaca7,0x86a5
0xaca8,0x86a6
0xaca9,0x86a7
0xacaa,0x86a8
0xacab,0x86a9
0xacac,0x86aa
0xacad,0x86ab
0xacae,0x86ac
0xacaf,0x86ad
0xacb0,0x86ae
0xacb1,0x86af
0xacb2,0x86b0
0xacb3,0x86b1
0xacb4,0x86b2
0xacb5,0x86b3
0xacb6,0x86b4
0xacb7,0x86b5
0xacb8,0x86b6
0xacb9,0x86b7
0xacba,0x86b8
0xacbb,0x86b9
0xacbc,0x86ba
0xacbd,0x86bb
0xacbe,0x86bc
0xacbf,0x86bd
0xacc0,0x86be
0xacc1,0x86bf
0xacc2,0x86c0
0xacc3,0x86c1
0xacc4,0x86c2
0xacc5,0x86c3
0xacc6,0x86c4
0xacc7,0x86c5
0xacc8,0x86c6
0xacc9,0x86c7
0xacca,0x86c8
0xaccb,0x86c9
0xaccc,0x86ca
0xaccd,0x86cb
0xacce,0x86cc
0xaccf,0x86cd
0xacd0,0x86ce
0xacd1,0x86cf
0xacd2,0x86d0
0xacd3,0x86d1
0xacd4,0x86d2
0xacd5,0x86d3
0xacd6,0x86d4
0xacd7,0x86d5
0xacd8,0x86d6
0xacd9,0x86d7
0xacda,0x86d8
0xacdb,0x86d9
0xacdc,0x86da
0xacdd,0x86db
0xacde,0x86dc
0xacdf,0x86dd
0xace0,0x86de
0xace1,0x86df
0xace2,0x86e0
0xace3,0x86e1
0xace4,0x86e2
0xace5,0x86e3
0xace6,0x86e4
0xace7,0x86e5
0xace8,0x86e6
0xace9,0x86e7
0xacea,0x86e8
0xaceb,0x86e9
0xacec,0x86ea
0xaced,0x86eb
0xacee,0x86ec
0xacef,0x86ed
0xacf0,0x86ee
0xacf1,0x86ef
0xacf2,0x86f0
0xacf3,0x86f1
0xacf4,0x86f2
0xacf5,0x86f3
0xacf6,0x86f4
0xacf7,0x86f5
0xacf8,0x86f6
0xacf9,0x86f7
0xacfa,0x86f8
0xacfb,0x86f9
0xacfc,0x86fa
0xacfd,0x86fb
0xacfe,0x86fc
0xada1,0x8740
0xada2,0x8741
0xada3,0x8742
0xada4,0x8743
0xada5,0x8744
0xada6,0x8745
0xada7,0x8746
0xada8,0x8747
0xada9,0x8748
0xadaa,0x8749
0xadab,0x874a
0xadac,0x874b
0xadad,0x874c
0xadae,0x874d
0xadaf,0x874e
0xadb0,0x874f
0xadb1,0x8750
0xadb2,0x8751
0xadb3,0x8752
0xadb4,0x8753
0xadb5,0x8754
0xadb6,0x8755
